   Del CrA,   Del CrA
   Del CrA,   Zet CrA
   Zet CrA,   Eta2CrA
   Eta2CrA,   Eta2CrA
  4The CrB,  3Bet CrB
  3Bet CrB,  5Alp CrB
  5Alp CrB,  8Gam CrB
  8Gam CrB, 10Del CrB
 10Del CrB, 13Eps CrB
 13Eps CrB, 14Iot CrB
  1Alp Crv,  3    Crv
  3    Crv,  4Gam Crv
  4Gam Crv,  8Eta Crv
  8Eta Crv,  9Bet Crv
  9Bet Crv,  3    Crv
 30Eta Crt, 27Zet Crt
 27Zet Crt, 13Lam Crt
 13Lam Crt, 12Del Crt
 12Del Crt, 16Kap Crt
 16Kap Crt, 21The Crt
 13Lam Crt, 11Bet Crt
 11Bet Crt,  7Alp Crt
  7Alp Crt, 12Del Crt
   Alp1Cru,   Gam Cru
   Iot Cru,   Del Cru
  1Kap Cyg, 10Iot2Cyg
 10Iot2Cyg, 13The Cyg
 13The Cyg, 18Del Cyg
 18Del Cyg, 37Gam Cyg
 37Gam Cyg, 53Eps Cyg
 53Eps Cyg, 64Zet Cyg
 64Zet Cyg, 78Mu 1Cyg
 64Zet Cyg, 66Ups Cyg
 66Ups Cyg, 65Tau Cyg
 65Tau Cyg, 67Sig Cyg
 67Sig Cyg, 73Rho Cyg
 73Rho Cyg, 81Pi 2Cyg
 50Alp Cyg, 37Gam Cyg
 37Gam Cyg, 21Eta Cyg
 21Eta Cyg,  6Bet1Cyg
  2Eps Del,  6Bet Del
  6Bet Del, 11Del Del
 11Del Del, 12Gam1Del
 12Gam1Del,  9Alp Del
  9Alp Del,  6Bet Del
   Gam Dor,   Alp Dor
   Alp Dor,   Zet Dor
   Zet Dor,   Bet Dor
   Bet Dor,   Eps Dor
   Bet Dor,   Eps Dor
 24Nu 1Dra, 23Bet Dra
 23Bet Dra, 32Xi  Dra
 32Xi  Dra, 24Nu 1Dra
 32Xi  Dra, 57Del Dra
 57Del Dra, 63Eps Dra
 63Eps Dra, 44Chi Dra
 44Chi Dra, 22Zet Dra
 22Zet Dra, 14Eta Dra
 14Eta Dra, 13The Dra
 13The Dra, 12Iot Dra
 12Iot Dra, 11Alp Dra
 11Alp Dra,  5Kap Dra
  7Del Equ, 10Bet Equ
 10Bet Equ,  8Alp Equ
  8Alp Equ,  5Gam Equ
 69Lam Eri, 67Bet Eri
 67Bet Eri, 61Ome Eri
 61Ome Eri, 57Mu  Eri
 57Mu  Eri, 48Nu  Eri
 48Nu  Eri, 40Omi2Eri
 40Omi2Eri, 34Gam Eri
 34Gam Eri, 26Pi  Eri
 26Pi  Eri, 23Del Eri
 23Del Eri, 18Eps Eri
 18Eps Eri,  3Eta Eri
  3Eta Eri,  1Tau1Eri
  1Tau1Eri,  2Tau2Eri
  2Tau2Eri, 11Tau3Eri
 11Tau3Eri, 15    Eri
 15    Eri, 19Tau5Eri
 19Tau5Eri, 27Tau6Eri
 27Tau6Eri, 36Tau9Eri
 36Tau9Eri, 52Ups2Eri
 52Ups2Eri, 52Ups2Eri
 52Ups2Eri, 43    Eri
 43    Eri, 43    Eri
 43    Eri,   Chi3For
   Chi3For,   Del Hor
   Del Hor,   The1Eri
   The1Eri,   Iot Eri
   Iot Eri,   Kap Eri
   Kap Eri,   Phi Eri
   Phi Eri,   Chi Eri
   Chi Eri,   Alp Eri
   Alp For,   Bet For
   Bet For,   Nu  For
  7Eta Gem, 13Mu  Gem
 13Mu  Gem, 27Eps Gem
 27Eps Gem, 46Tau Gem
 46Tau Gem, 62Rho Gem
 62Rho Gem, 66Alp Gem
 66Alp Gem, 75Sig Gem
 75Sig Gem, 78Bet Gem
 78Bet Gem, 77Kap Gem
 77Kap Gem, 55Del Gem
 55Del Gem, 43Zet Gem
 43Zet Gem, 24Gam Gem
 24Gam Gem, 18Nu  Gem
 18Nu  Gem, 13Mu  Gem
 24Gam Gem, 30    Gem
